time,open,high,low,close,volume,ticker
2022-12-23,1023.92,1027.34,1013.2,1020.34,537715968,VNINDEX
2022-12-26,1020.34,1021.89,985.21,985.21,611116608,VNINDEX
2022-12-27,988.31,1007.88,985.28,1004.57,582860288,VNINDEX
2022-12-28,1008.81,1020.52,998.97,1015.66,575669760,VNINDEX
2022-12-29,1015.39,1021.96,1009.29,1009.29,453396448,VNINDEX
2022-12-30,1017.25,1017.99,1007.09,1007.09,395620480,VNINDEX
2023-01-03,1011.54,1043.9,1011.38,1043.9,548487360,VNINDEX
2023-01-04,1047.91,1052.6,1041.56,1046.35,643758144,VNINDEX
2023-01-05,1048.17,1058.14,1046.64,1055.82,531992896,VNINDEX
2023-01-06,1055.46,1065.58,1047.26,1051.44,694258240,VNINDEX
2023-01-09,1057.49,1057.49,1050.95,1054.21,465044576,VNINDEX
2023-01-10,1054.84,1057.44,1045.75,1053.35,537346880,VNINDEX
2023-01-11,1058.25,1065.69,1054.53,1055.76,540720192,VNINDEX
2023-01-12,1058.51,1060.97,1050.27,1056.39,498993728,VNINDEX
2023-01-13,1060.71,1066.39,1055.23,1060.17,661973696,VNINDEX
2023-01-16,1062.14,1067.74,1057.87,1066.68,507637088,VNINDEX
2023-01-17,1067.6,1088.29,1067.6,1088.29,665779648,VNINDEX
2023-01-18,1088.29,1100.39,1088.29,1098.28,602432512,VNINDEX
2023-01-19,1095.53,1111.72,1094.46,1108.08,611985536,VNINDEX
2023-01-27,1114.58,1124.3,1111.41,1117.1,600038720,VNINDEX
2023-01-30,1117.66,1118.46,1102.57,1102.57,796982400,VNINDEX
2023-01-31,1100.4,1111.18,1088.25,1111.18,744674624,VNINDEX
2023-02-01,1114.68,1116.96,1075.97,1075.97,1027755072,VNINDEX
2023-02-02,1079.69,1083.36,1070.81,1077.59,631351296,VNINDEX
2023-02-03,1078.83,1081.89,1070.46,1077.15,555867136,VNINDEX
2023-02-06,1073.52,1089.29,1067.24,1089.29,515247968,VNINDEX
2023-02-07,1089.43,1092.12,1065.18,1065.84,670195840,VNINDEX
2023-02-08,1065.84,1079.51,1063.5,1072.22,567414592,VNINDEX
2023-02-09,1070.07,1075.2,1064.03,1064.03,468311968,VNINDEX
2023-02-10,1066.16,1066.28,1054.08,1055.3,462035840,VNINDEX
2023-02-13,1050.99,1054.05,1031.7,1043.7,675272896,VNINDEX
2023-02-14,1045.14,1046.64,1032.76,1038.64,390913248,VNINDEX
2023-02-15,1037.11,1051.89,1034.39,1048.2,581759872,VNINDEX
2023-02-16,1048.2,1058.29,1047.45,1058.29,473657440,VNINDEX
2023-02-17,1058.99,1062.25,1053.26,1059.31,458046784,VNINDEX
2023-02-20,1059.74,1088.01,1059.56,1086.69,681844992,VNINDEX
2023-02-21,1089.74,1095.1,1081.8,1082.23,710327040,VNINDEX
2023-02-22,1079.72,1079.72,1054.28,1054.28,810477184,VNINDEX
2023-02-23,1053.89,1054.48,1030.58,1053.66,715619072,VNINDEX
2023-02-24,1051.58,1052.49,1034.66,1039.56,424423872,VNINDEX
2023-02-27,1029.55,1031.59,1017.7,1021.25,585054912,VNINDEX
2023-02-28,1027.74,1034.36,1018.72,1024.68,423328384,VNINDEX
2023-03-01,1018.07,1040.55,1013.37,1040.55,513984704,VNINDEX
2023-03-02,1039.0,1043.8,1033.07,1037.61,363822080,VNINDEX
2023-03-03,1038.1,1041.82,1022.78,1024.77,442593536,VNINDEX
2023-03-06,1032.35,1042.43,1026.73,1027.18,416423648,VNINDEX
2023-03-07,1034.62,1043.92,1033.32,1037.84,461679520,VNINDEX
2023-03-08,1028.62,1049.18,1027.8,1049.18,505502336,VNINDEX
2023-03-09,1050.61,1060.56,1049.45,1055.95,604018112,VNINDEX
2023-03-10,1050.53,1053.86,1046.31,1053.0,502993632,VNINDEX
2023-03-13,1046.95,1055.58,1045.46,1052.8,620801600,VNINDEX
2023-03-14,1049.44,1051.56,1034.72,1040.13,620666240,VNINDEX
2023-03-15,1043.82,1062.55,1043.82,1062.19,619189248,VNINDEX
2023-03-16,1056.15,1058.73,1043.65,1047.4,530346816,VNINDEX
2023-03-17,1053.47,1055.42,1043.54,1045.14,556727360,VNINDEX
2023-03-20,1041.91,1042.6,1022.71,1023.1,563464832,VNINDEX
2023-03-21,1028.83,1036.15,1017.05,1032.43,471473984,VNINDEX
2023-03-22,1032.6,1042.84,1032.6,1040.54,452992832,VNINDEX
2023-03-23,1035.44,1045.1,1030.93,1045.1,430076224,VNINDEX
2023-03-24,1047.1,1052.29,1044.02,1046.79,574361920,VNINDEX
2023-03-27,1047.78,1053.78,1041.99,1052.25,556101440,VNINDEX
2023-03-28,1055.57,1059.83,1051.75,1054.29,629994944,VNINDEX
2023-03-29,1055.75,1056.33,1048.26,1056.33,459582112,VNINDEX
2023-03-30,1056.33,1066.23,1056.33,1059.44,595226304,VNINDEX
2023-03-31,1060.0,1067.55,1059.85,1064.64,638266112,VNINDEX
